"id";"source";"name_short";"name_full";"name_norm";"born";"died";"linkname";"nationality";"region";"description";"image";"imgfull";"pageurl";"wordcount";"introduction";"rank";"spotify";"clicks";"catalogued";"female";"general";"view";"preview_music";"tier"
1;"Ludwig van Beethoven";"Beethoven";"Ludwig van Beethoven";"Ludwig van Beethoven";1770;1827;"Ludwig_van_Beethoven";"Germany";"A Austria-Germany";"German classical and romantic composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Beethoven.jpg/266px-Beethoven.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/6f/Beethoven.jpg";"https://en.wikipedia.org/wiki/Ludwig_van_Beethoven";9283;"Ludwig van Beethoven was a German composer and pianist. A crucial figure in the transition between the Classical and Romantic eras in classical music, he remains one of the most recognised and influential of all composers. His best-known compositions include 9 symphonies; 5 piano concertos; 1 violin concerto; 32 piano sonatas; 16 string quartets; a mass, the Missa solemnis; and an opera, Fidelio. His career as a composer is conventionally divided into early, middle, and late periods; the ""early"" period is typically seen to last until 1802, the ""middle"" period from 1802 to 1812, and the ""late"" period from 1812 to his death in 1827.";0.96;"{""context_uri"":""spotify:album:0VLRT5MCF95We1JyVwrlUz"",""offset"":{""position"":4},""position_ms"":275000}";617;1;0;0;17601870;"https://p.scdn.co/mp3-preview/9c73b4e07b6e71eff714ee171d483dd5418fc1b7?cid=774b29d4f13844c495f206cafdad9c86";1
2;"Wolfgang Amadeus Mozart";"Mozart";"Wolfgang Amadeus Mozart";"Wolfgang Amadeus Mozart";1756;1791;"Wolfgang_Amadeus_Mozart";"Austria";"A Austria-Germany";"Austrian composer of the Classical period";"https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Croce-Mozart-Detail.jpg/247px-Croce-Mozart-Detail.jpg";"https://upload.wikimedia.org/wikipedia/commons/4/47/Croce-Mozart-Detail.jpg";"https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart";7522;"Wolfgang Amadeus Mozart, baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the classical era. He composed more than 600 works, many acknowledged as pinnacles of symphonic, concertante, chamber, operatic, and choral music. He is among the most enduringly popular of classical composers, and his influence is profound on subsequent Western art music. Ludwig van Beethoven composed his own early works in the shadow of Mozart, and Joseph Haydn wrote: ""posterity will not see such a talent again in 100 years"".";0.94;"{""context_uri"":""spotify:album:508zMB2w1US3ZtxPrAzrPW"",""offset"":{""position"":33},""position_ms"":0}";282;1;0;0;17501820;"https://p.scdn.co/mp3-preview/f9cc7df6e0e8c5bdff98114fbc7bd82f47909e96?cid=774b29d4f13844c495f206cafdad9c86";1
3;"Johann Sebastian Bach";"Bach";"Johann Sebastian Bach";"Johann Sebastian Bach";1685;1750;"Johann_Sebastian_Bach";"Germany";"A Austria-Germany";"German composer and musician of the Baroque era";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Johann_Sebastian_Bach.jpg/260px-Johann_Sebastian_Bach.jpg";"https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg";"https://en.wikipedia.org/wiki/Johann_Sebastian_Bach";15773;"Johann Sebastian Bach was a German composer and musician of the Baroque period. He is known for instrumental compositions such as the Brandenburg Concertos and the Goldberg Variations as well as for vocal music such as the St Matthew Passion and the Mass in B minor. Bach enriched established German styles through his mastery of counterpoint, harmonic and motivic organisation, and his adaptation of rhythms, forms, and textures from abroad, particularly from Italy and France. Since the 19th-century Bach Revival he has been generally regarded as one of the greatest composers of all time.";0.99;"{""context_uri"":""spotify:album:6wwT6p37H1xtQzo3MUz0VU"",""offset"":{""position"":8},""position_ms"":200}";906;1;0;0;16801800;"https://p.scdn.co/mp3-preview/e1d6f0d6f40e2f775559b61c1b48638bb6c6ddbf?cid=774b29d4f13844c495f206cafdad9c86";1
4;"Richard Wagner";"Wagner";"Richard Wagner";"Richard Wagner";1813;1883;"Richard_Wagner";"Germany";"A Austria-Germany";"German composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RichardWagner.jpg/231px-RichardWagner.jpg";"https://upload.wikimedia.org/wikipedia/commons/9/9d/RichardWagner.jpg";"https://en.wikipedia.org/wiki/Richard_Wagner";13412;"Wilhelm Richard Wagner was a German composer, theatre director, polemicist, and conductor who is chiefly known for his operas. Unlike most opera composers, Wagner wrote both the libretto and the music for each of his stage works. Initially establishing his reputation as a composer of works in the romantic vein of Carl Maria von Weber and Giacomo Meyerbeer, Wagner revolutionised opera through his concept of the Gesamtkunstwerk, by which he sought to synthesise the poetic, visual, musical and dramatic arts, with music subsidiary to drama. He described this vision in a series of essays published between 1849 and 1852. Wagner realised these ideas most fully in the first half of the four-opera cycle Der Ring des Nibelungen.";0.95;"{""context_uri"": ""spotify:album:4fIpgQW9HQCWrwiiQee3Wt"", ""offset"": {""position"": 4}, ""position_ms"": 500}";450;1;0;0;18101900;"https://p.scdn.co/mp3-preview/3e7856410ce817d08478ec5cfa9f8f27130964fd?cid=774b29d4f13844c495f206cafdad9c86";1
5;"Joseph Haydn";"Haydn";"Joseph Haydn";"Joseph Haydn";1732;1809;"Joseph_Haydn";"Austria";"A Austria-Germany";"Austrian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Joseph_Haydn.jpg/253px-Joseph_Haydn.jpg";"https://upload.wikimedia.org/wikipedia/commons/0/05/Joseph_Haydn.jpg";"https://en.wikipedia.org/wiki/Joseph_Haydn";8651;"Franz Joseph Haydn was an Austrian composer of the Classical period. He was instrumental in the development of chamber music such as the piano trio. His contributions to musical form have earned him the epithets ""Father of the Symphony"" and ""Father of the String Quartet"". Haydn spent much of his career as a court musician for the wealthy Esterházy family at their remote estate. Until the later part of his life, this isolated him from other composers and trends in music so that he was, as he put it, ""forced to become original"". Yet his music circulated widely, and for much of his career he was the most celebrated composer in Europe.";0.89;"{""context_uri"":""spotify:album:6bakTjmKRCEe00fp7Vi4Ct"",""offset"":{""position"":8},""position_ms"":0}";313;1;0;0;17301840;"https://p.scdn.co/mp3-preview/cb751816d7d93e305764c83065d3392fbb671afd?cid=774b29d4f13844c495f206cafdad9c86";1
6;"Johannes Brahms";"Brahms";"Johannes Brahms";"Johannes Brahms";1833;1897;"Johannes_Brahms";"Germany";"A Austria-Germany";"German composer and pianist";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/JohannesBrahms.jpg/247px-JohannesBrahms.jpg";"https://upload.wikimedia.org/wikipedia/commons/1/15/JohannesBrahms.jpg";"https://en.wikipedia.org/wiki/Johannes_Brahms";7876;"Johannes Brahms was a German composer and pianist of the Romantic period. Born in Hamburg into a Lutheran family, Brahms spent much of his professional life in Vienna, Austria. His reputation and status as a composer are such that he is sometimes grouped with Johann Sebastian Bach and Ludwig van Beethoven as one of the ""Three Bs"" of music, a comment originally made by the nineteenth-century conductor Hans von Bülow.";0.94;"{""context_uri"":""spotify:album:2nFMfIwVsFarlL3aXoHSTB"",""offset"":{""position"":23},""position_ms"":0}";142;1;0;0;18301930;"https://p.scdn.co/mp3-preview/1ad3540408fb3a93d3c10cb35c3ee3d3914fdd50?cid=3796d35078a440fd9c34dd8eefe7d600";1
7;"Franz Schubert";"Schubert";"Franz Schubert";"Franz Schubert";1797;1828;"Franz_Schubert";"Austria";"A Austria-Germany";"Austrian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Franz_Schubert_Signature.svg/320px-Franz_Schubert_Signature.svg.png";"https://upload.wikimedia.org/wikipedia/commons/4/41/Franz_Schubert_Signature.svg";"https://en.wikipedia.org/wiki/Franz_Schubert";9061;"Franz Peter Schubert was an Austrian composer of the late Classical and early Romantic eras. Despite his short lifetime, Schubert left behind a vast oeuvre, including more than 600 secular vocal works, seven complete symphonies, sacred music, operas, incidental music and a large body of piano and chamber music. His major works include the Piano Quintet in A major, D. 667 , the Symphony No. 8 in B minor, D. 759 , the three last piano sonatas, the opera Fierrabras, the incidental music to the play Rosamunde, and the song cycles Die schöne Müllerin and Winterreise.";0.94;"{""context_uri"":""spotify:album:196vJrHkgMI2jFWNR8VMXf"",""offset"":{""position"":4},""position_ms"":0}";170;1;0;0;17901860;"https://p.scdn.co/mp3-preview/58efc5d8291faac60d95adf76820a1e5d0ba6ab3?cid=3796d35078a440fd9c34dd8eefe7d600";1
8;"Pyotr Ilyich Tchaikovsky";"Tchaikovsky";"Pyotr Ilyich Tchaikovsky";"Pyotr Ilyich Tchaikovsky";1840;1893;"Pyotr_Ilyich_Tchaikovsky";"Russian Federation";"D Russia";"Russian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Tchaikovsky_by_Reutlinger.jpg/220px-Tchaikovsky_by_Reutlinger.jpg";"https://upload.wikimedia.org/wikipedia/commons/4/4d/Tchaikovsky_by_Reutlinger.jpg";"https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky";10904;"Pyotr Ilyich Tchaikovsky, was a Russian composer of the romantic period, whose works are among the most popular music in the classical repertoire. He was the first Russian composer whose music made a lasting impression internationally, bolstered by his appearances as a guest conductor in Europe and the United States. He was honored in 1884 by Emperor Alexander III, and awarded a lifetime pension.";0.89;"{""context_uri"": ""spotify:album:4Il3umDo6pNWeTSUWHp2io"", ""offset"": {""position"": 17}, ""position_ms"": 36600}";107;1;0;0;18301920;"https://p.scdn.co/mp3-preview/dcbbd3d40daf9e2c5ff8c417b7976c6b5aaa8af1?cid=3796d35078a440fd9c34dd8eefe7d600";1
9;"George Frideric Handel";"Handel";"George Frideric Handel";"George Frideric Handel";1685;1759;"George_Frideric_Handel";"Germany";"C2 England";"18th-century German, later British Baroque composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/George_Frideric_Handel_by_Balthasar_Denner.jpg/265px-George_Frideric_Handel_by_Balthasar_Denner.jpg";"https://upload.wikimedia.org/wikipedia/commons/f/fa/George_Frideric_Handel_by_Balthasar_Denner.jpg";"https://en.wikipedia.org/wiki/George_Frideric_Handel";10713;"George Frideric Handel was a German, later British, Baroque composer who spent the bulk of his career in London, becoming well-known for his operas, oratorios, anthems, and organ concertos. Handel received important training in Halle-upon-Saale and worked as a composer in Hamburg and Italy before settling in London in 1712; he became a naturalised British subject in 1727. He was strongly influenced both by the great composers of the Italian Baroque and by the middle-German polyphonic choral tradition. Musicologist Winton Dean writes that his operas show that ""Handel was not only a great composer; he was a dramatic genius of the first order.""";0.91;"{""context_uri"":""spotify:album:4WoJ3TpzQBvabC5aLVSSez"",""offset"":{""position"":22},""position_ms"":13600}";82;1;0;0;16801790;"https://p.scdn.co/mp3-preview/a4db8e757fef306c7a2cdb88cec1e9f6631d1e7d?cid=3796d35078a440fd9c34dd8eefe7d600";1
10;"Igor Stravinsky";"Stravinsky";"Igor Stravinsky";"Igor Stravinsky";1882;1971;"Igor_Stravinsky";"Russian Federation";"D Russia";"Russian-born composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Igor_Stravinsky_LOC_32392u.jpg/233px-Igor_Stravinsky_LOC_32392u.jpg";"https://upload.wikimedia.org/wikipedia/commons/3/33/Igor_Stravinsky_LOC_32392u.jpg";"https://en.wikipedia.org/wiki/Igor_Stravinsky";10116;"Igor Fyodorovich Stravinsky was a Russian-born composer, pianist, and conductor. He is widely considered one of the most important and influential composers of the 20th century. Stravinsky's compositional career was notable for its stylistic diversity. He first achieved international fame with three ballets commissioned by the impresario Serge Diaghilev and first performed in Paris by Diaghilev's Ballets Russes: The Firebird (1910), Petrushka (1911), and The Rite of Spring (1913). The latter transformed the way in which subsequent composers thought about rhythmic structure and was largely responsible for Stravinsky's enduring reputation as a musical revolutionary who pushed the boundaries of musical design.";0.79;"{""context_uri"":""spotify:album:7aMXMUuS10G2eEpobqX3Ep"",""offset"":{""position"":1},""position_ms"":116588}";43;1;0;1;18802000;"https://p.scdn.co/mp3-preview/e9239197e5a39bb25c2b8020c99d5ab39544bf76?cid=3796d35078a440fd9c34dd8eefe7d600";1
