"id";"composer";"genre";"order";"cat";"recommend";"title";"search";"date";"suite";"album_count";"nickname";"openopus";"duration";"spotify_loaded"
"BACH00002";"Bach";"Vocal - Cantata";80.0;"BWV 1";"";"Wie schön leuchtet der Morgenstern";"";1725;"";69;"";0;1395011;0
"BACH00003";"Bach";"Vocal - Cantata";80.0;"BWV 2";"";"Ach Gott, vom Himmel sieh darein ";"";1724;"";30;"";0;1047039;0
"BACH00004";"Bach";"Vocal - Cantata";80.0;"BWV 3";"";"Ach Gott, wie manches Herzeleid ";"";1725;"";30;"";0;1322720;0
"BACH00005";"Bach";"Vocal - Cantata";80.0;"BWV 4.2";"";"Christ lag in Todes Banden";"";1724;"";9;"";0;263000;0
"BACH00006";"Bach";"Vocal - Cantata";80.0;"BWV 4.1";"";"Christ lag in Todes Banden";"";1707;"";31;"";0;98000;0
"BACH00007";"Bach";"Vocal - Cantata";80.0;"BWV 5";"";"Wo soll ich fliehen hin";"";1724;"";33;"";0;1323345;0
"BACH00008";"Bach";"Vocal - Cantata";80.0;"BWV 6";"";"Bleib bei uns, denn es will Abend werden ";"";1725;"";55;"";0;1142064;0
"BACH00009";"Bach";"Vocal - Cantata";80.0;"BWV 7";"";"Christ unser Herr zum Jordan kam";"";1724;"";31;"";0;1257343;0
"BACH00010";"Bach";"Vocal - Cantata";80.0;"BWV 8.1";"";"Liebster Gott, wenn werd ich sterben? ";"";1724;"";6;"";0;400773;0
"BACH00011";"Bach";"Vocal - Cantata";80.0;"BWV 8.2";"";"Liebster Gott, wenn werd ich sterben? ";"";1747;"";8;"";0;225400;0
"BACH00012";"Bach";"Vocal - Cantata";80.0;"BWV 9";"";"Es ist das Heil uns kommen her";"";1732;"";31;"";0;1311036;0
"BACH00013";"Bach";"Vocal - Cantata";80.0;"BWV 10";"";"Meine Seel erhebt den Herren a.k.a. German Magnificat";"";1724;"";28;"";0;1153424;0
"BACH00014";"Bach";"Vocal - Cantata";80.0;"BWV 12";"";"Weinen, Klagen, Sorgen, Zagen ";"";1724;"";105;"";0;1474451;0
"BACH00015";"Bach";"Vocal - Cantata";80.0;"BWV 13";"";"Meine Seufzer, meine Tränen ";"";1726;"";26;"";0;1392825;0
"BACH00016";"Bach";"Vocal - Cantata";80.0;"BWV 14";"";"Wär Gott nicht mit uns diese Zeit";"";1735;"";31;"";0;920838;0
"BACH00017";"Bach";"Vocal - Cantata";80.0;"BWV 16";"";"Herr Gott, dich loben wir ";"";1726;"";26;"";0;1094265;0
"BACH00018";"Bach";"Vocal - Cantata";80.0;"BWV 17";"";"Wer Dank opfert, der preiset mich ";"";1726;"";23;"";0;981292;0
"BACH00019";"Bach";"Vocal - Cantata";80.0;"BWV 18.2";"";"Gleichwie der Regen und Schnee vom Himmel fällt";"";1724;"";1;"";0;81000;0
"BACH00020";"Bach";"Vocal - Cantata";80.0;"BWV 18.1";"";"Gleichwie der Regen und Schnee vom Himmel fällt";"";1715;"";2;"";0;185500;0
"BACH00021";"Bach";"Vocal - Cantata";80.0;"BWV 19";"";"Es erhub sich ein Streit";"";1726;"";38;"";0;1187890;0
"BACH00022";"Bach";"Vocal - Cantata";80.0;"BWV 20";"";"O Ewigkeit, du Donnerwort ";"";1724;"";49;"";0;1547196;0
"BACH00023";"Bach";"Vocal - Cantata";80.0;"BWV 21.1";"";"Ich hatte viel Bekümmernis";"";1713;"";3;"";0;176146;0
"BACH00024";"Bach";"Vocal - Cantata";80.0;"BWV 21.2";"";"Ich hatte viel Bekümmernis";"";1720;"";0;"";0;0;0
"BACH00025";"Bach";"Vocal - Cantata";80.0;"BWV 21.3";"";"Ich hatte viel Bekümmernis";"";1723;"";0;"";0;0;0
"BACH00026";"Bach";"Vocal - Cantata";80.0;"BWV 22";"";"Jesus nahm zu sich die Zwölfe";"";1723;"";88;"";0;999000;0
"BACH00027";"Bach";"Vocal - Cantata";80.0;"BWV 23.1";"";"Du wahrer Gott und Davids Sohn";"";1723;"";2;"";0;350760;0
"BACH00028";"Bach";"Vocal - Cantata";80.0;"BWV 23.2";"";"Du wahrer Gott und Davids Sohn";"";1723;"";2;"";0;80240;0
"BACH00029";"Bach";"Vocal - Cantata";80.0;"BWV 23.3";"";"Du wahrer Gott und Davids Sohn";"";1730;"";2;"";0;222586;0
"BACH00030";"Bach";"Vocal - Cantata";80.0;"BWV 24";"";"Ein ungefärbt Gemüte";"";1723;"";20;"";0;1019744;0
"BACH00031";"Bach";"Vocal - Cantata";80.0;"BWV 25";"";"Es ist nichts Gesundes an meinem Leibe";"";1723;"";26;"";0;937225;0
"BACH00032";"Bach";"Vocal - Cantata";80.0;"BWV 26";"";"Ach wie flüchtig, ach wie nichtig ";"";1724;"";49;"";0;916559;0
"BACH00033";"Bach";"Vocal - Cantata";80.0;"BWV 27";"";"Wer weiß, wie nahe mir mein Ende? ";"";1726;"";36;"";0;934437;0
"BACH00034";"Bach";"Vocal - Cantata";80.0;"BWV 28";"";"Gottlob! nun geht das Jahr zu Ende";"";1725;"";46;"";0;931998;0
"BACH00036";"Bach";"Vocal - Cantata";80.0;"BWV 29";"1";"Wir danken dir, Gott, wir danken dir ";"";1731;"";236;"";0;1365397;0
"BACH00037";"Bach";"Vocal - Cantata";80.0;"BWV 30.2";"";"Freue dich, erlöste Schar ";"";1738;"";1;"";0;0;0
"BACH00038";"Bach";"Vocal - Cantata";80.0;"BWV 30.1";"";"Angenehmes Wiederau";"";1737;"";0;"";0;0;0
"BACH00039";"Bach";"Vocal - Cantata";80.0;"BWV 31.2";"";"Der Himmel lacht! Die Erde jubilieret";"";1724;"";4;"";0;239750;0
"BACH00040";"Bach";"Vocal - Cantata";80.0;"BWV 31.1";"";"Der Himmel lacht! Die Erde jubilieret";"";1715;"";7;"";0;154493;0
"BACH00041";"Bach";"Vocal - Cantata";80.0;"BWV 32";"";"Liebster Jesu, mein Verlangen ";"";1726;"";35;"";0;1375319;0
"BACH00042";"Bach";"Vocal - Cantata";80.0;"BWV 33";"";"Allein zu dir, Herr Jesu Christ ";"";1724;"";29;"";0;1260972;0
"BACH00043";"Bach";"Vocal - Cantata";80.0;"BWV 34.1";"";"O ewiges Feuer, o Ursprung der Liebe ";"";1727;"";3;"";0;459244;0
"BACH00044";"Bach";"Vocal - Cantata";80.0;"BWV 34.2";"";"O ewiges Feuer, o Ursprung der Liebe ";"";1727;"";2;"";0;43250;0
"BACH00045";"Bach";"Vocal - Cantata";80.0;"BWV 35";"";"Geist und Seele wird verwirret";"";1726;"";65;"";0;1567704;0
"BACH00046";"Bach";"Vocal - Cantata";80.0;"BWV 36.4";"";"Schwingt freudig euch empor";"";1728;"";1;"";0;83493;0
"BACH00047";"Bach";"Vocal - Cantata";80.0;"BWV 36.5";"";"Schwingt freudig euch empor";"";1731;"";1;"";0;216333;0
"BACH00048";"Bach";"Vocal - Cantata";80.0;"BWV 36.2";"";"Steigt freudig in die Luft";"";1726;"";1;"";0;213506;0
"BACH00049";"Bach";"Vocal - Cantata";80.0;"BWV 36.3";"";"Die Freude reget sich";"";1735;"";0;"";0;0;0
"BACH00050";"Bach";"Vocal - Cantata";80.0;"BWV 36.1";"";"Schwingt freudig euch empor";"";1725;"";1;"";0;241000;0
"BACH00051";"Bach";"Vocal - Cantata";80.0;"BWV 37";"";"Wer da gläubet und getauft wird";"";1724;"";32;"";0;913000;0
"BACH00052";"Bach";"Vocal - Cantata";80.0;"BWV 38";"";"Aus tiefer Not schrei ich zu dir";"";1724;"";51;"";0;1013879;0
"BACH00053";"Bach";"Vocal - Cantata";80.0;"BWV 39";"";"Brich dem Hungrigen dein Brot";"";1726;"";30;"";0;1267972;0
"BACH00054";"Bach";"Vocal - Cantata";80.0;"BWV 40";"";"Darzu ist erschienen der Sohn Gottes";"";1723;"";28;"";0;879411;0
"BACH00055";"Bach";"Vocal - Cantata";80.0;"BWV 41";"";"Jesu, nun sei gepreiset ";"";1725;"";32;"";0;1518357;0
"BACH00056";"Bach";"Vocal - Cantata";80.0;"BWV 42";"";"Am Abend aber desselbigen Sabbats";"";1725;"";51;"";0;1743917;0
"BACH00057";"Bach";"Vocal - Cantata";80.0;"BWV 43";"";"Gott fähret auf mit Jauchzen";"";1726;"";34;"";0;1219876;0
"BACH00058";"Bach";"Vocal - Cantata";80.0;"BWV 44";"";"Sie werden euch in den Bann tun";"";1724;"";25;"";0;1009357;0
"BACH00059";"Bach";"Vocal - Cantata";80.0;"BWV 45";"";"Es ist dir gesagt, Mensch, was gut ist ";"";1726;"";35;"";0;1088123;0
"BACH00060";"Bach";"Vocal - Cantata";80.0;"BWV 46";"";"Schauet doch und sehet, ob irgend ein Schmerz sei ";"";1723;"";16;"";0;1102371;0
"BACH00061";"Bach";"Vocal - Cantata";80.0;"BWV 47";"";"Wer sich selbst erhöhet, der soll erniedriget werden ";"";1726;"";21;"";0;1307384;0
"BACH00062";"Bach";"Vocal - Cantata";80.0;"BWV 48";"";"Ich elender Mensch, wer wird mich erlösen ";"";1723;"";19;"";0;881744;0
"BACH00063";"Bach";"Vocal - Cantata";80.0;"BWV 49";"";"Ich geh und suche mit Verlangen";"";1726;"";45;"";0;1505332;0
"BACH00064";"Bach";"Vocal - Cantata";80.0;"BWV 50";"";"Nun ist das Heil und die Kraft";"";1726;"";27;"";0;244040;0
"BACH00065";"Bach";"Vocal - Cantata";80.0;"BWV 51";"1";"Jauchzet Gott in allen Landen";"";1730;"";226;"";0;1007345;0
"BACH00066";"Bach";"Vocal - Cantata";80.0;"BWV 52";"";"Falsche Welt, dir trau ich nicht ";"";1726;"";23;"";0;902598;0
"BACH00067";"Bach";"Vocal - Cantata";80.0;"BWV 54";"";"Widerstehe doch der Sünde";"";1716;"";156;"";0;673480;0
